K,Silhouette
5,0.03644299507141113
6,0.035356536507606506
7,0.037327881902456284
8,0.03613806515932083
9,0.03842862695455551
10,0.03858364000916481
11,0.038454242050647736
12,0.037033937871456146
13,0.03919908404350281
14,0.04078963026404381
15,0.04026941582560539
